RELEVANT | As the Chinese population demands western brands and products,
RELEVANT | But it has been said the Negro was not worth the struggle.
RELEVANT | Efficient, kindly colored women assisted us.
RELEVANT | We have, indeed, degraded women, immigrants, from foreign lands.
RELEVANT | Trump’s November 9 reform allows migrants who arrive at the ports of entry to apply for full asylum.
RELEVANT | We currently host four million migrants, 3,5 million of which are Syrian citizens.
RELEVANT | Canadian prime minister Justin Trudeau has declared that his country will accept any refugees refused by the US, a sentiment echoed by Scottish leader Nicola Sturgeon.
RELEVANT | A fresh group of refugees was created by the storm—homeless, without loved ones, in mourning and sorrow.
RELEVANT | The presence of immigrants indeed made them feel more insecure.
RELEVANT | Joining the caravans gave the migrants autonomy, security, and publicity.
RELEVANT | And, the Mexican immigration case – while not generally truthful – is digestible to some extent.
RELEVANT | The anguish of the families, mostly immigrants from Yemen, was generally dismissed by authorities.
RELEVANT | Migrants' mental health and life satisfaction may decline, but the remittances they send home can enable their families to invest in climate-resilient livelihoods.
RELEVANT | What kind of a Negro do the American people want? What kind of an American does the Negro intend to be?
RELEVANT | A Salvadoran family said it didn’t have much say on where and how it traveled: When the group stopped, the family stopped.
RELEVANT | The prejudices of the American people are fast losing their provincial character.
RELEVANT | The sudden emancipation of millions of African slaves reshaped the labor market.
RELEVANT | But let friends of the negro and friends of our women hope.
RELEVANT | The big negro only flashed his teeth and waved his arm.
RELEVANT | I’m a Chinese Canadian, live in York Region
RELEVANT | EU leaders are calling for mass deportations of refugees.
RELEVANT | As an immigrant from France curious to learn the language(s),   
RELEVANT | The Negro must develop courage and self-confidence.
RELEVANT | They had a Negro meeting this afternoon to discuss the right to vote.
RELEVANT | I am a white man; I stand at the sunrise.
RELEVANT | He happened to be a white man, she said bitterly, recalling the segregation.
RELEVANT | This means that the Jewish People is being presented as an independent entity superior to the State.
RELEVANT | I see the immigrant land and toil and push his fortunes in the poem by Walt Whitman.
RELEVANT | The Egyptian, who held the Jew captive, became himself a slave in the biblical story.
RELEVANT | Do the Ethiopian People Have a Voice in Constitutional Review or Customary Law?
RELEVANT | Albanians responded by boycotting state schools and setting up an unofficial parallel system of Albanian-language education.
RELEVANT | We know that men, and in particular White men, are more likely to hold leadership positions in a variety of industries.
RELEVANT | Was it because the American loved Alice?
RELEVANT | A rich American lady who married a Frenchman.
RELEVANT | Two Peruvian boys came galloping in on horses.
RELEVANT | Probably they had never before seen an American girl.
RELEVANT | Not so with the black woman of the South.
RELEVANT | Despite being young white musicians, DeShannon, Cohen, and Cooder's love for this music is obvious
RELEVANT | Loads of single, asian men and women are looking for their match on the Internet
RELEVANT | I’d love to plan Simi’s wedding (Simi is a Nigerian artist, with exceptional vocals).
RELEVANT | How to get a visa for my Thai wives children to join us in the UK is a question we get asked daily
